Назва;Модель;Ціна(грн);Посилання на товар
Samsung Galaxy A32 4/128GB Black (SM-A325FZKG);SM-A325FZKG;9985;https://hotline.ua/ua/mobile-mobilnye-telefony-i-smartfony/samsung-galaxy-a32-4128gb-black-sm-a325fzkg/
Samsung Galaxy S22 Ultra 12/256GB Phantom Black (SM-S908BZKG);SM-S908BZKG;46480;https://hotline.ua/ua/mobile-mobilnye-telefony-i-smartfony/samsung-galaxy-s22-ultra-12256gb-phantom-black-sm-s908bzkg/
Samsung Galaxy A33 5G 6/128GB Black (SM-A336BZKG);SM-A336BZKG;12648;https://hotline.ua/ua/mobile-mobilnye-telefony-i-smartfony/samsung-galaxy-a33-5g-6128gb-black-sm-a336bzkg/
Смартфон SAMSUNG Galaxy M13 4/128 Gb Dual Sim Light Blue (SM-M135FLBGSEK);SM-M135FLBG;7799;https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_samsung_sm_m135f_galaxy_m13_4128gb_lbg_light_blue.html
Samsung Galaxy M53 5G 6/128GB Blue (SM-M536BZBD);SM-M536BZBD;16336;https://hotline.ua/ua/mobile-mobilnye-telefony-i-smartfony/samsung-galaxy-m53-5g-6128gb-blue-sm-m536bzbd/
Samsung Galaxy S22 Ultra 12/512GB Phantom Black (SM-S908BZKH);SM-S908BZKH;50550;https://hotline.ua/ua/mobile-mobilnye-telefony-i-smartfony/samsung-galaxy-s22-ultra-12512gb-phantom-black-sm-s908bzkh/
Samsung Galaxy M23 5G 4/64GB Blue (SM-M236BLBD);SM-M236BLBD;9881;https://hotline.ua/ua/mobile-mobilnye-telefony-i-smartfony/samsung-galaxy-m23-5g-464gb-blue-sm-m236blbd/
Samsung Galaxy S22 Ultra 8/128GB Phantom Black (SM-S908BZKD);SM-S908BZKD;42654;https://hotline.ua/ua/mobile-mobilnye-telefony-i-smartfony/samsung-galaxy-s22-ultra-8128gb-phantom-black-sm-s908bzkd/
Samsung Galaxy S22 8/256GB Phantom Black (SM-S901BZKG);SM-S901BZKG;32789;https://hotline.ua/ua/mobile-mobilnye-telefony-i-smartfony/samsung-galaxy-s22-8256gb-phantom-black-sm-s901bzkg/
Samsung Galaxy M33 5G 6/128GB Green (SM-M336BZGG);SM-M336BZGG;11386;https://hotline.ua/ua/mobile-mobilnye-telefony-i-smartfony/samsung-galaxy-m33-5g-6128gb-green-sm-m336bzgg/
Samsung Galaxy S21 FE 5G 6/128GB Graphite (SM-G990BZAD, SM-G990BZAF);SM-G990BZAF;23658;https://hotline.ua/ua/mobile-mobilnye-telefony-i-smartfony/samsung-galaxy-s21-fe-5g-6128gb-graphite-sm-g990bzad/
Samsung Galaxy S22+ 8/256GB Phantom Black (SM-S906BZKG);SM-S906BZKG;39409;https://hotline.ua/ua/mobile-mobilnye-telefony-i-smartfony/samsung-galaxy-s22-plus-8256gb-phantom-black-sm-s906bzkg/
Samsung Galaxy S21 FE 5G 8/256GB Graphite (SM-G990BZAG, SM-G990BZAW);SM-G990BZAW;26688;https://hotline.ua/ua/mobile-mobilnye-telefony-i-smartfony/samsung-galaxy-s21-fe-5g-8256gb-graphite-sm-g990bzag/
Samsung Galaxy S22+ 8/128GB Phantom Black (SM-S906BZKD);SM-S906BZKD;37659;https://hotline.ua/ua/mobile-mobilnye-telefony-i-smartfony/samsung-galaxy-s22-plus-8128gb-phantom-black-sm-s906bzkd/
Samsung Galaxy M23 5G 4/128GB Blue (SM-M236BLBG);SM-M236BLBG;9985;https://hotline.ua/ua/mobile-mobilnye-telefony-i-smartfony/samsung-galaxy-m23-5g-4128gb-blue-sm-m236blbg/
Samsung Galaxy A73 5G 6/128GB Gray (SM-A736BZAD);SM-A736BZAD;20412;https://hotline.ua/ua/mobile-mobilnye-telefony-i-smartfony/samsung-galaxy-a73-5g-6128gb-gray-sm-a736bzad/
Samsung Galaxy S22 8/128GB Green (SM-S901BZGD);SM-S901BZGD;30957;https://hotline.ua/ua/mobile-mobilnye-telefony-i-smartfony/samsung-galaxy-s22-8128gb-green-sm-s901bzgd/
Samsung Galaxy Flip4 8/128GB Graphite (SM-F721BZAG);SM-F721BZAG;36600;https://hotline.ua/ua/mobile-mobilnye-telefony-i-smartfony/samsung-galaxy-flip4-8128gb-graphite-sm-f721bzag/
Смартфон SAMSUNG Galaxy Flip 4 8/256Gb Blue (SM-F721BLBHSEK);SM-F721BLBH;39999;https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_samsung_sm_f721b_galaxy_flip_4_8256gb_lbh_blue.html
Samsung Galaxy A23 4/64GB Black (SM-A235FZKU);SM-A235FZKU;8703;https://hotline.ua/ua/mobile-mobilnye-telefony-i-smartfony/samsung-galaxy-a23-464gb-black-sm-a235fzku/
Samsung Galaxy A73 5G 8/256GB Gray (SM-A736BZAH);SM-A736BZAH;22438;https://hotline.ua/ua/mobile-mobilnye-telefony-i-smartfony/samsung-galaxy-a73-5g-8256gb-gray-sm-a736bzah/
Смартфон Samsung Galaxy M32 6/128Gb Black (SM-M325FZKGSEK);SM-M325FZKG;8555;https://comfy.ua/ua/smartfon-samsung-galaxy-m32-6-128gb-black-sm-m325fzkgsek.html
Смартфон Samsung Galaxy A23 6/128Gb Black (SM-A235FZKKSEK);SM-A235FZKK;9499;https://comfy.ua/ua/smartfon-samsung-galaxy-a23-6-128gb-black-sm-a235fzkksek.html
Смартфон Samsung Galaxy A03 4/64Gb Black (SM-A035FZKGSEK);SM-A035FZKG;5799;https://comfy.ua/ua/smartfon-samsung-galaxy-a03-4-64gb-black-sm-a035fzkgsek.html
Samsung Galaxy A03s 3/32GB Blue (SM-A037FZBD);SM-A037FZBD;5061;https://hotline.ua/ua/mobile-mobilnye-telefony-i-smartfony/samsung-galaxy-a03s-2021-332gb-blue-sm-a037fzbd/
Смартфон Samsung Galaxy A03 3/32Gb Blue (SM-A035FZBDSEK);SM-A035FZBD;5099;https://comfy.ua/ua/smartfon-samsung-galaxy-a03-3-32gb-blue-sm-a035fzbdsek.html
Смартфон Samsung Galaxy A03s 4/64Gb Black (SM-A037FZKGSEK);SM-A037FZKG;5799;https://comfy.ua/ua/smartfon-samsung-galaxy-a03s-4-64gb-black-sm-a037fzkgsek.html
Смартфон Samsung Galaxy M13 4/128Gb Light Blue (SM-M135FLBGSEK);SM-M135FLBG;7799;https://comfy.ua/ua/smartfon-samsung-galaxy-m13-4-128gb-light-blue-sm-m135flbgsek.html
Смартфон Samsung Galaxy A52 4/128Gb Black (SM-A525FZKDSEK);SM-A525FZKD;11999;https://comfy.ua/ua/smartfon-samsung-galaxy-a52-4-128gb-black-sm-a525flkdsek.html
Смартфон Samsung Galaxy A52 8/256Gb Black (SM-A525FZKISEK);SM-A525FZKI;13999;https://comfy.ua/ua/smartfon-samsung-galaxy-a52-8-256gb-black-sm-a525fzkisek.html
Samsung Galaxy S20 FE SM-G780G 6/128GB Blue (SM-G780GZBD);SM-G780GZBD;18215;https://hotline.ua/ua/mobile-mobilnye-telefony-i-smartfony/samsung-galaxy-s20-fe-6128gb-blue-sm-g780gzbd/
Смартфон Samsung Galaxy Flip 4 8/256Gb Blue (SM-F721BLBHSEK);SM-F721BLBH;39999;https://comfy.ua/ua/smartfon-samsung-galaxy-flip-4-8-256gb-blue-sm-f721blbhsek.html
Смартфон Samsung Galaxy Fold 3 12/256Gb Phantom Silver (SM-F926BZSDSEK);SM-F926BZSD;45999;https://comfy.ua/ua/smartfon-samsung-galaxy-z-fold-3-12-256gb-phantom-silver-sm-f926bzsdsek.html
Смартфон Samsung Galaxy Fold 3 12/512Gb Phantom Silver (SM-F926BZSGSEK);SM-F926BZSG;45999;https://comfy.ua/ua/smartfon-samsung-galaxy-z-fold-3-12-512gb-phantom-silver-sm-f926bzsgsek.html
